Date,Year,Month,Day,Repeat,ID,Transaction_ID_sub,Transaction_ID,Category,Quant,Price
2019/7/24,2019,7,24,1,1900001,1900001_1,1900001_1_1,a,1,1000
2019/5/22,2019,5,22,1,1900002,1900002_1,1900002_1_1,b,1,800
2019/9/28,2019,9,28,1,1900003,1900003_1,1900003_1_1,d,1,2750
2019/9/28,2019,9,28,1,1900003,1900003_1,1900003_1_2,c,1,1500
2019/2/11,2019,2,11,1,1900004,1900004_1,1900004_1_1,a,2,1000
2019/2/11,2019,2,11,1,1900004,1900004_1,1900004_1_2,d,1,2500
2019/7/3,2019,7,3,2,1900004,1900004_2,1900004_2_1,b,1,750
2019/7/3,2019,7,3,2,1900004,1900004_2,1900004_2_2,a,1,1200
2019/9/28,2019,9,28,1,1900005,1900005_1,1900005_1_1,a,2,1200
2019/2/23,2019,2,23,2,1900005,1900005_2,1900005_2_1,b,2,800
2019/7/25,2019,7,25,3,1900005,1900005_3,1900005_3_1,b,1,750
2019/7/25,2019,7,25,3,1900005,1900005_3,1900005_3_2,a,3,1000
2019/11/24,2019,11,24,4,1900005,1900005_4,1900005_4_1,b,1,750
2019/11/24,2019,11,24,4,1900005,1900005_4,1900005_4_2,a,3,1600
2019/12/10,2019,12,10,1,1900006,1900006_1,1900006_1_1,c,2,1750
2019/10/23,2019,10,23,1,1900007,1900007_1,1900007_1_1,b,1,600
2019/3/25,2019,3,25,2,1900007,1900007_2,1900007_2_1,d,1,2500
2019/3/25,2019,3,25,2,1900007,1900007_2,1900007_2_2,c,1,1500
2019/5/4,2019,5,4,1,1900008,1900008_1,1900008_1_1,d,1,2500
2019/7/19,2019,7,19,1,1900009,1900009_1,1900009_1_1,a,1,1000
2019/1/1,2019,1,1,2,1900009,1900009_2,1900009_2_1,a,2,1000
2019/1/1,2019,1,1,2,1900009,1900009_2,1900009_2_2,b,3,600
2019/4/15,2019,4,15,1,1900010,1900010_1,1900010_1_1,d,1,2500
2019/8/27,2019,8,27,1,1900011,1900011_1,1900011_1_1,c,2,1800
2019/8/27,2019,8,27,1,1900011,1900011_1,1900011_1_2,a,1,1200
2019/2/19,2019,2,19,2,1900011,1900011_2,1900011_2_1,b,1,600
2019/1/8,2019,1,8,1,1900012,1900012_1,1900012_1_1,c,1,1500
2019/1/8,2019,1,8,1,1900012,1900012_1,1900012_1_2,a,1,1000
2019/4/2,2019,4,2,1,1900013,1900013_1,1900013_1_1,a,1,1200
2019/4/2,2019,4,2,1,1900013,1900013_1,1900013_1_2,c,2,1500
2019/3/10,2019,3,10,2,1900013,1900013_2,1900013_2_1,c,1,1900
2019/9/30,2019,9,30,3,1900013,1900013_3,1900013_3_1,c,1,1800
2019/9/30,2019,9,30,3,1900013,1900013_3,1900013_3_2,b,1,800
2019/6/8,2019,6,8,1,1900014,1900014_1,1900014_1_1,b,3,800
2019/6/8,2019,6,8,1,1900014,1900014_1,1900014_1_2,c,1,1750
2019/4/12,2019,4,12,2,1900014,1900014_2,1900014_2_1,c,1,1800
2019/4/12,2019,4,12,2,1900014,1900014_2,1900014_2_2,a,1,1200
2019/9/12,2019,9,12,3,1900014,1900014_3,1900014_3_1,c,1,1750
2019/12/14,2019,12,14,4,1900014,1900014_4,1900014_4_1,c,2,1750
2019/9/21,2019,9,21,5,1900014,1900014_5,1900014_5_1,c,1,1900
2019/9/21,2019,9,21,5,1900014,1900014_5,1900014_5_2,d,1,2500
2019/8/5,2019,8,5,1,1900015,1900015_1,1900015_1_1,b,1,600
2019/8/5,2019,8,5,1,1900015,1900015_1,1900015_1_2,a,2,1000
2019/5/3,2019,5,3,1,1900016,1900016_1,1900016_1_1,b,2,750
2019/4/20,2019,4,20,1,1900017,1900017_1,1900017_1_1,b,1,750
2019/1/3,2019,1,3,1,1900018,1900018_1,1900018_1_1,b,1,600
2019/4/28,2019,4,28,1,1900019,1900019_1,1900019_1_1,a,1,1600
2019/1/12,2019,1,12,1,1900020,1900020_1,1900020_1_1,d,2,2750
2019/1/12,2019,1,12,1,1900020,1900020_1,1900020_1_2,c,1,1500
2019/4/26,2019,4,26,1,1900021,1900021_1,1900021_1_1,b,3,600
2019/10/23,2019,10,23,1,1900022,1900022_1,1900022_1_1,b,1,600
2019/10/23,2019,10,23,1,1900022,1900022_1,1900022_1_2,c,1,1800
2019/2/11,2019,2,11,1,1900023,1900023_1,1900023_1_1,b,1,600
2019/2/11,2019,2,11,1,1900023,1900023_1,1900023_1_2,a,2,1200
2019/9/10,2019,9,10,1,1900024,1900024_1,1900024_1_1,b,1,600
2019/7/25,2019,7,25,2,1900024,1900024_2,1900024_2_1,c,3,1750
2019/9/7,2019,9,7,1,1900025,1900025_1,1900025_1_1,c,2,1500
2019/9/7,2019,9,7,1,1900025,1900025_1,1900025_1_2,b,2,900
2019/4/12,2019,4,12,1,1900026,1900026_1,1900026_1_1,c,1,1500
2019/4/12,2019,4,12,1,1900026,1900026_1,1900026_1_2,d,1,2000
2019/8/26,2019,8,26,2,1900026,1900026_2,1900026_2_1,b,1,750
2019/1/16,2019,1,16,1,1900027,1900027_1,1900027_1_1,d,1,2750
2019/1/16,2019,1,16,1,1900027,1900027_1,1900027_1_2,b,3,600
2019/1/14,2019,1,14,1,1900028,1900028_1,1900028_1_1,b,1,800
2019/1/14,2019,1,14,1,1900028,1900028_1,1900028_1_2,c,1,1800
2019/8/20,2019,8,20,2,1900028,1900028_2,1900028_2_1,b,2,600
2019/2/19,2019,2,19,3,1900028,1900028_3,1900028_3_1,b,2,600
2019/2/6,2019,2,6,1,1900029,1900029_1,1900029_1_1,b,1,750
2019/2/6,2019,2,6,1,1900029,1900029_1,1900029_1_2,a,3,1000
2019/1/6,2019,1,6,1,1900030,1900030_1,1900030_1_1,c,2,1500
2019/3/2,2019,3,2,1,1900031,1900031_1,1900031_1_1,d,1,3000
2019/8/5,2019,8,5,2,1900031,1900031_2,1900031_2_1,b,1,600
2019/8/5,2019,8,5,2,1900031,1900031_2,1900031_2_2,d,1,2000
2019/9/3,2019,9,3,1,1900032,1900032_1,1900032_1_1,d,1,2500
2019/9/3,2019,9,3,1,1900032,1900032_1,1900032_1_2,a,1,1000
2019/9/12,2019,9,12,1,1900033,1900033_1,1900033_1_1,b,1,600
2019/9/12,2019,9,12,1,1900033,1900033_1,1900033_1_2,d,1,2750
2019/4/7,2019,4,7,1,1900034,1900034_1,1900034_1_1,d,2,2000
2019/8/20,2019,8,20,2,1900034,1900034_2,1900034_2_1,d,2,2500
2019/8/20,2019,8,20,2,1900034,1900034_2,1900034_2_2,b,1,900
2019/7/14,2019,7,14,3,1900034,1900034_3,1900034_3_1,d,1,2000
2019/1/1,2019,1,1,1,1900035,1900035_1,1900035_1_1,b,3,750
2019/1/1,2019,1,1,1,1900035,1900035_1,1900035_1_2,a,1,1200
2019/4/10,2019,4,10,1,1900036,1900036_1,1900036_1_1,b,1,900
2019/10/24,2019,10,24,2,1900036,1900036_2,1900036_2_1,b,1,750
2019/7/18,2019,7,18,1,1900037,1900037_1,1900037_1_1,b,1,800
2019/7/18,2019,7,18,1,1900037,1900037_1,1900037_1_2,c,3,1750
2019/10/16,2019,10,16,1,1900038,1900038_1,1900038_1_1,c,3,1500
2019/10/16,2019,10,16,1,1900038,1900038_1,1900038_1_2,b,3,600
2019/4/4,2019,4,4,1,1900039,1900039_1,1900039_1_1,a,2,1200
2019/5/5,2019,5,5,1,1900040,1900040_1,1900040_1_1,a,3,1000
2019/5/5,2019,5,5,1,1900040,1900040_1,1900040_1_2,c,1,1800
2019/12/29,2019,12,29,1,1900041,1900041_1,1900041_1_1,b,1,600
2019/12/29,2019,12,29,1,1900041,1900041_1,1900041_1_2,a,1,1000
2019/2/2,2019,2,2,1,1900042,1900042_1,1900042_1_1,b,2,600
2019/12/24,2019,12,24,2,1900042,1900042_2,1900042_2_1,a,1,1000
2019/2/18,2019,2,18,3,1900042,1900042_3,1900042_3_1,c,2,1500
2019/3/14,2019,3,14,4,1900042,1900042_4,1900042_4_1,b,1,900
2019/3/14,2019,3,14,4,1900042,1900042_4,1900042_4_2,a,2,1000
2019/5/5,2019,5,5,5,1900042,1900042_5,1900042_5_1,a,1,1200
2019/10/7,2019,10,7,1,1900043,1900043_1,1900043_1_1,a,1,1200
2019/10/7,2019,10,7,1,1900043,1900043_1,1900043_1_2,d,2,2000
2019/1/7,2019,1,7,2,1900043,1900043_2,1900043_2_1,d,1,2000
2019/3/10,2019,3,10,1,1900044,1900044_1,1900044_1_1,c,1,1750
2019/1/10,2019,1,10,1,1900045,1900045_1,1900045_1_1,c,3,1750
2019/7/24,2019,7,24,2,1900045,1900045_2,1900045_2_1,d,3,2000
2019/1/4,2019,1,4,3,1900045,1900045_3,1900045_3_1,b,1,600
2019/1/4,2019,1,4,3,1900045,1900045_3,1900045_3_2,c,1,1800
2019/1/2,2019,1,2,4,1900045,1900045_4,1900045_4_1,b,1,600
2019/1/2,2019,1,2,4,1900045,1900045_4,1900045_4_2,d,1,2750
2019/4/12,2019,4,12,5,1900045,1900045_5,1900045_5_1,b,1,600
2019/3/6,2019,3,6,6,1900045,1900045_6,1900045_6_1,d,1,2000
2019/1/23,2019,1,23,7,1900045,1900045_7,1900045_7_1,c,2,1500
2019/4/17,2019,4,17,1,1900046,1900046_1,1900046_1_1,c,1,1800
2019/1/29,2019,1,29,1,1900047,1900047_1,1900047_1_1,a,1,1000
2019/1/19,2019,1,19,1,1900048,1900048_1,1900048_1_1,b,1,600
2019/1/10,2019,1,10,1,1900049,1900049_1,1900049_1_1,b,2,750
2019/1/10,2019,1,10,1,1900049,1900049_1,1900049_1_2,d,2,2000
2019/11/7,2019,11,7,1,1900050,1900050_1,1900050_1_1,a,2,1000
2019/5/2,2019,5,2,2,1900050,1900050_2,1900050_2_1,a,1,1600
2019/5/2,2019,5,2,2,1900050,1900050_2,1900050_2_2,c,3,1900
2019/2/6,2019,2,6,1,1900051,1900051_1,1900051_1_1,a,2,1200
2019/2/7,2019,2,7,1,1900052,1900052_1,1900052_1_1,d,1,2000
2019/2/7,2019,2,7,1,1900052,1900052_1,1900052_1_2,a,1,1200
2019/10/13,2019,10,13,1,1900053,1900053_1,1900053_1_1,c,1,1800
2019/4/5,2019,4,5,2,1900053,1900053_2,1900053_2_1,b,1,600
2019/4/5,2019,4,5,2,1900053,1900053_2,1900053_2_2,c,1,1500
2019/12/26,2019,12,26,1,1900054,1900054_1,1900054_1_1,d,1,2750
2019/8/21,2019,8,21,1,1900055,1900055_1,1900055_1_1,d,1,2000
2019/8/21,2019,8,21,1,1900055,1900055_1,1900055_1_2,a,1,1200
2019/4/11,2019,4,11,1,1900056,1900056_1,1900056_1_1,b,2,600
2019/4/13,2019,4,13,1,1900057,1900057_1,1900057_1_1,b,1,800
2019/4/13,2019,4,13,1,1900057,1900057_1,1900057_1_2,c,1,1500
2019/2/1,2019,2,1,1,1900058,1900058_1,1900058_1_1,b,2,750
2019/2/1,2019,2,1,1,1900058,1900058_1,1900058_1_2,d,1,3000
2019/12/29,2019,12,29,2,1900058,1900058_2,1900058_2_1,b,1,900
2019/12/29,2019,12,29,2,1900058,1900058_2,1900058_2_2,a,2,1200
2019/10/30,2019,10,30,3,1900058,1900058_3,1900058_3_1,b,1,900
2019/10/30,2019,10,30,3,1900058,1900058_3,1900058_3_2,a,1,1000
2019/11/20,2019,11,20,4,1900058,1900058_4,1900058_4_1,d,2,2000
2019/4/14,2019,4,14,1,1900059,1900059_1,1900059_1_1,b,1,600
2019/4/14,2019,4,14,1,1900059,1900059_1,1900059_1_2,a,1,1200
2019/9/22,2019,9,22,1,1900060,1900060_1,1900060_1_1,c,3,1750
2019/9/22,2019,9,22,1,1900060,1900060_1,1900060_1_2,b,1,600
2019/11/4,2019,11,4,2,1900060,1900060_2,1900060_2_1,c,1,1500
2019/11/4,2019,11,4,2,1900060,1900060_2,1900060_2_2,b,2,600
2019/6/27,2019,6,27,3,1900060,1900060_3,1900060_3_1,b,1,750
2019/6/27,2019,6,27,3,1900060,1900060_3,1900060_3_2,d,1,3000
2019/9/26,2019,9,26,1,1900061,1900061_1,1900061_1_1,d,2,2000
2019/9/14,2019,9,14,2,1900061,1900061_2,1900061_2_1,d,1,2000
2019/9/14,2019,9,14,2,1900061,1900061_2,1900061_2_2,b,1,900
2019/12/23,2019,12,23,3,1900061,1900061_3,1900061_3_1,b,1,600
2019/12/23,2019,12,23,3,1900061,1900061_3,1900061_3_2,d,1,2750
2019/6/26,2019,6,26,4,1900061,1900061_4,1900061_4_1,c,2,1750
