ID,q1,q2,q3,q4,q5,q6,q7,q8,F1,F2,F3
1,4,4,2,3,2,2,4,4,6,2,5
2,5,3,5,3,1,5,1,1,2,1,4
3,5,1,1,5,4,1,5,5,5,1,2
4,4,4,3,2,3,3,3,2,2,2,3
5,4,4,5,2,2,2,2,2,4,2,3
6,3,3,3,1,1,1,1,1,5,2,3
7,3,3,2,2,2,3,2,2,3,2,2
8,4,3,2,2,1,2,2,2,4,2,5
9,4,4,3,2,2,4,2,1,2,2,2
10,4,4,4,2,2,2,2,4,3,2,2
11,3,3,4,2,3,3,3,1,3,1,2
12,5,5,1,4,4,3,5,4,3,1,2
13,5,4,2,3,3,2,5,5,3,1,2
14,3,2,3,2,2,3,4,1,4,2,5
15,2,3,4,2,5,4,3,2,4,1,2
16,3,2,3,1,2,4,4,2,6,2,5
17,4,1,4,3,1,4,5,2,2,1,4
18,4,1,4,3,1,3,1,2,1,1,2
19,4,2,3,2,3,3,3,3,6,1,2
20,5,4,5,3,3,1,5,4,2,2,2
21,5,4,1,4,2,1,4,3,3,1,2
22,5,3,1,2,1,1,3,3,6,2,5
23,5,4,3,1,1,4,1,1,3,2,7
24,4,2,3,2,2,4,3,2,3,2,2
25,4,5,2,2,2,3,3,2,3,2,2
26,4,2,3,2,2,3,4,2,6,2,5
27,4,4,4,3,1,3,2,2,2,2,2
28,4,4,3,2,3,2,2,1,6,1,2
29,4,3,2,3,4,2,2,2,2,2,2
30,4,2,5,2,2,5,2,1,3,1,2
31,2,1,5,1,1,5,1,1,3,2,5
32,4,2,3,2,1,2,4,3,6,2,5
33,3,2,4,2,1,4,3,1,2,2,4
34,4,2,2,3,3,4,4,2,6,1,2
35,4,3,4,2,2,3,3,1,3,1,2
36,3,4,4,1,1,1,1,2,6,2,5
37,4,4,3,2,2,2,3,1,2,2,2
38,4,2,5,1,1,4,1,1,3,1,2
39,1,1,5,1,1,1,1,1,7,1,1
40,4,4,2,2,1,3,3,2,3,1,2
41,5,4,1,2,1,3,3,4,2,1,4
42,2,2,4,2,2,4,3,1,2,1,4
43,3,5,4,3,4,3,5,3,2,1,4
44,4,4,5,2,1,2,2,4,2,1,4
45,3,3,2,2,2,4,5,4,2,1,4
46,5,4,2,3,2,2,5,4,2,1,4
47,5,5,3,3,1,1,4,2,2,2,4
48,2,1,5,1,2,5,2,1,2,1,4
49,5,5,2,3,3,1,4,4,2,1,4
50,4,3,3,4,3,4,4,4,2,1,4
51,5,4,2,3,4,2,4,2,2,1,4
52,4,2,3,2,2,4,4,4,1,1,4
53,5,1,5,3,5,1,4,5,3,1,4
54,4,4,2,3,1,4,1,1,2,1,4
55,3,4,5,1,2,4,2,2,1,1,4
56,5,4,2,4,4,1,4,4,2,1,4
57,4,5,2,3,2,2,4,3,2,2,4
58,3,4,4,3,3,4,2,1,2,1,4
59,1,1,1,1,1,1,2,1,1,1,4
60,4,5,5,3,3,2,4,2,2,1,4
61,4,4,4,2,3,3,4,2,2,1,4
62,3,4,3,1,1,4,1,1,2,1,4
63,3,1,3,2,4,4,3,2,2,1,4
64,4,4,4,2,1,4,4,2,2,1,4
65,4,3,4,2,2,4,2,2,2,1,4
66,4,4,3,1,1,3,5,4,2,1,4
67,4,3,2,4,4,1,4,4,2,1,4
68,5,4,5,1,1,5,5,1,2,2,4
69,3,3,5,1,1,5,3,1,2,1,4
70,4,4,2,2,2,3,5,4,2,2,4
71,4,1,2,1,1,3,4,4,2,2,4
72,4,1,3,2,5,3,2,3,2,1,4
73,3,4,4,2,2,3,3,2,2,1,4
74,3,4,3,2,3,2,1,1,2,2,4
75,3,3,4,1,1,4,1,1,2,2,4
76,4,3,2,2,1,4,2,3,2,1,4
77,3,3,3,2,3,3,2,2,2,1,4
78,5,4,1,4,2,1,5,5,2,1,4
79,2,2,3,2,2,4,2,2,2,1,4
80,5,4,3,3,2,2,3,3,2,2,4
