ID,Age,Sex,Address,Frequency
1900001,25,Male,Kyuusyuu,1
1900002,21,Female,Hokkaido,1
1900003,21,Female,Hokkaido,1
1900004,46,Female,Kyuusyuu,2
1900005,53,Male,Tyuugoku,4
1900006,68,Female,Tyubu,1
1900007,25,Male,Kanto,2
1900008,26,Female,Tyubu,1
1900009,33,Female,Kyuusyuu,2
1900010,46,Female,Tyuugoku,1
1900011,28,Female,Kinki,2
1900012,37,Female,Kanto,1
1900013,35,Male,Tohoku,3
1900014,69,Female,Kanto,5
1900015,26,Female,Tohoku,1
1900016,22,Male,Tyuugoku,1
1900017,27,Female,Tohoku,1
1900018,33,Female,Shikoku,1
1900019,43,Female,Tohoku,1
1900020,43,Female,Tyubu,1
1900021,28,Female,Kanto,1
1900022,21,Male,Kinki,1
1900023,21,Female,Tyubu,1
1900024,38,Female,Kyuusyuu,2
1900025,49,Female,Kyuusyuu,1
1900026,52,Female,Tyuugoku,2
1900027,25,Female,Kinki,1
1900028,46,Male,Shikoku,3
1900029,49,Male,Tyuugoku,1
1900030,24,Female,Kanto,1
1900031,26,Female,Kinki,2
1900032,27,Male,Shikoku,1
1900033,31,Female,Shikoku,1
1900034,26,Male,Kinki,3
1900035,45,Male,Kyuusyuu,1
1900036,62,Female,Tyubu,2
1900037,29,Female,Kanto,1
1900038,54,Female,Kyuusyuu,1
1900039,26,Female,Kanto,1
1900040,38,Female,Hokkaido,1
1900041,34,Male,Tyubu,1
1900042,43,Female,Kyuusyuu,5
1900043,26,Female,Tohoku,2
1900044,23,Female,Kyuusyuu,1
1900045,25,Female,Tohoku,7
1900046,32,Female,Kyuusyuu,1
1900047,31,Female,Kanto,1
1900048,43,Female,Tyubu,1
1900049,25,Male,Kinki,1
1900050,22,Female,Kyuusyuu,2
1900051,32,Female,Kanto,1
1900052,37,Male,Kyuusyuu,1
1900053,29,Female,Hokkaido,2
1900054,24,Female,Tohoku,1
1900055,38,Male,Kyuusyuu,1
1900056,36,Female,Kyuusyuu,1
1900057,41,Female,Kanto,1
1900058,52,Female,Kyuusyuu,4
